x,y,age1,age,gneder1,gender,sum,date
13.58801,11.0956,0-10,0,Female,1,1,08/19/2019
9.878124,12.55918,61-80,4,Female,1,2,08/20/2019
14.65398,10.18044,0-10,0,male,0,3,08/21/2019
15.22057,9.993003,> 80,5,male,0,4,08/23/2019
13.16265,12.96319,61-80,4,Female,1,5,08/24/2019
13.80617,8.889046,21-40,2,Female,1,6,08/26/2019
13.10214,10.56081,61-80,4,Female,1,7,08/27/2019
11.00403,11.86713,21-40,2,male,0,8,08/28/2019
15.15475,11.70451,0-10,0,male,0,9,08/29/2019
11.12639,9.643859,61-80,4,Female,1,10,08/29/2019
11.7104,13.59038,61-80,4,male,0,11,08/29/2019
12.34107,11.48214,61-80,4,Female,1,12,08/29/2019
10.58664,11.86681,0-10,0,Female,1,13,08/29/2019
14.56957,10.57711,0-10,0,Female,1,14,08/29/2019
16.56765,14.32268,41-60,3,male,0,15,08/29/2019
9.511439,10.67225,> 80,5,Female,1,16,08/29/2019
13.33699,10.70585,> 80,5,male,0,17,08/30/2019
15.03486,10.19459,> 80,5,Female,1,18,08/30/2019
15.13973,10.04012,0-10,0,male,0,19,08/30/2019
10.87104,9.823215,61-80,4,Female,1,20,08/30/2019
12.54631,11.9826,21-40,2,male,0,21,08/30/2019
11.82367,11.7979,> 80,5,male,0,22,08/30/2019
12.19227,10.38389,21-40,2,Female,1,23,08/30/2019
13.87589,12.75045,61-80,4,male,0,24,08/30/2019
12.30798,11.85122,0-10,0,male,0,25,08/30/2019
10.97379,11.85359,> 80,5,Female,1,26,08/30/2019
10.98912,9.759229,> 80,5,male,0,27,08/30/2019
13.50803,13.34022,0-10,0,Female,1,28,08/30/2019
10.80653,11.66098,61-80,4,Female,1,29,08/30/2019
12.20569,13.64252,0-10,0,male,0,30,08/30/2019
13.89933,13.98826,21-40,2,Female,1,31,08/30/2019
12.51938,11.61548,> 80,5,male,0,32,08/30/2019
15.74902,12.65131,21-40,2,Female,1,33,08/30/2019
12.85563,9.896143,0-10,0,male,0,34,08/30/2019
12.98866,10.1677,0-10,0,Female,1,35,08/30/2019
13.6861,11.40649,> 80,5,male,0,36,08/30/2019
13.08889,11.11662,0-10,0,male,0,37,08/30/2019
13.42064,11.08226,61-80,4,male,0,38,08/30/2019
14.75734,9.368398,> 80,5,male,0,39,08/30/2019
13.205,13.16882,> 80,5,male,0,40,08/30/2019
9.847669,12.53263,61-80,4,Female,1,41,08/30/2019
12.53966,12.00474,0-10,0,male,0,42,08/30/2019
13.40522,10.24531,0-10,0,male,0,43,08/30/2019
14.43222,11.61986,61-80,4,male,0,44,08/30/2019
15.98592,14.18579,> 80,5,male,0,45,08/30/2019
10.8983,12.01404,0-10,0,male,0,46,08/30/2019
12.54032,13.41382,> 80,5,Female,1,47,08/30/2019
15.84175,12.38042,0-10,0,male,0,48,08/30/2019
16.54906,14.34902,0-10,0,male,0,49,08/30/2019
11.19962,8.586758,21-40,2,male,0,50,08/30/2019
15.77734,12.17214,> 80,5,Female,1,51,08/30/2019
11.01652,9.782825,61-80,4,Female,1,52,08/30/2019
11.68324,13.5818,21-40,2,Female,1,53,08/30/2019
11.54616,12.27906,41-60,3,Female,1,54,08/30/2019
11.79539,15.07723,21-40,2,Female,1,55,08/30/2019
13.04533,13.88243,21-40,2,male,0,56,08/30/2019
14.14244,13.1333,> 80,5,male,0,57,08/30/2019
14.84649,10.01118,0-10,0,male,0,58,08/30/2019
12.58271,11.01057,41-60,3,male,0,59,08/30/2019
14.63834,12.92149,0-10,0,Female,1,60,08/30/2019
12.47289,11.21463,> 80,5,male,0,61,08/30/2019
14.4973,8.744322,> 80,5,male,0,62,08/30/2019
9.224811,10.83608,0-10,0,Female,1,63,08/30/2019
17.93893,7.189272,> 80,5,male,0,64,08/30/2019
11.17129,14.73371,0-10,0,Female,1,65,08/30/2019
9.487955,10.70568,11-20,1,male,0,66,08/30/2019
10.80275,9.933474,11-20,1,Female,1,67,08/30/2019
16.06981,14.11234,0-10,0,Female,1,68,08/30/2019
10.38257,10.56815,11-20,1,Female,1,69,08/30/2019
13.68547,8.984794,0-10,0,male,0,70,08/30/2019
15.80461,13.92831,41-60,3,Female,1,71,08/30/2019
12.17318,11.80932,> 80,5,Female,1,72,08/30/2019
11.49627,10.73456,0-10,0,male,0,73,08/31/2019
15.40609,11.19265,> 80,5,Female,1,74,08/31/2019
15.91103,12.20705,> 80,5,male,0,75,08/31/2019
10.1881,11.91827,0-10,0,Female,1,76,08/31/2019
